Marchandise,Famille,Sous famille,Code interne,Code libre
PALETTE DE PORC S/OS,LOT 07 VIANDES FRAICHES,PORCS,,
POITRINE DE PORC FUME ENTIERE,LOT 07 VIANDES FRAICHES,PORCS,,
POITRINE SALEE N°1 CRUE ,LOT 07 VIANDES FRAICHES,PORCS,,
ROTI DE PORC CUIT (LONGE) ,LOT 07 VIANDES FRAICHES,PORCS,,
ROTI DE PORC S/S OS LONGE ,LOT 07 VIANDES FRAICHES,PORCS,,
SAUTE DE PORC FRAIS ,LOT 07 VIANDES FRAICHES,PORCS,,
TRAVERS DE PORC  (VPF),LOT 07 VIANDES FRAICHES,PORCS,,
CUISSE DE CANETTE  DEJOINTEE FRAIS S/V 160/200GR,LOT 08 VOLAILLES FRAICHES,CANARD/CANETTE,,
FILET DE CANARD FRAIS 280/340 GR,LOT 08 VOLAILLES FRAICHES,CANARD/CANETTE,,
BROCHETTE DE DINDE MARINEES A L'INDIENNE (130 GR),LOT 08 VOLAILLES FRAICHES,DINDE,,
BROCHETTE DE DINDE MARINEES CHINOISE (130 GR),LOT 08 VOLAILLES FRAICHES,DINDE,,
BROCHETTE DE DINDE MARINEES MEXICAINE (130 GR),LOT 08 VOLAILLES FRAICHES,DINDE,,
BROCHETTE DE DINDE MARINEES PROVENCALE (130 GR),LOT 08 VOLAILLES FRAICHES,DINDE,,
BROCHETTE DE DINDE NATURE (130 GR),LOT 08 VOLAILLES FRAICHES,DINDE,,
BROCHETTE DINDE MARINEE ORIENTALE(130 GR),LOT 08 VOLAILLES FRAICHES,DINDE,,
COT'LETTE DE DINDE NATURE 120GR BBC,LOT 08 VOLAILLES FRAICHES,DINDE,,
EMINCE DE DINDE CERTIFIE BBC,LOT 08 VOLAILLES FRAICHES,DINDE,,
ESCALOPE DE DINDE 120 GR  S/V ,LOT 08 VOLAILLES FRAICHES,DINDE,,
KEBAB DE DINDE CUIT,LOT 08 VOLAILLES FRAICHES,DINDE,,
OSSO BUCCO DE DINDE 120/160 GR,LOT 08 VOLAILLES FRAICHES,DINDE,,
ROTI DE DINDE 100% S/S BARDE,LOT 08 VOLAILLES FRAICHES,DINDE,,
SAUTE DE DINDE CERTIFIE BBC,LOT 08 VOLAILLES FRAICHES,DINDE,,
DEMI RABLE DE LAPIN 150/170 GRS,LOT 08 VOLAILLES FRAICHES,LAPIN,,
CUISSE PINTADE  DEJOINTEE FRAIS S/V 180/200 GR,LOT 08 VOLAILLES FRAICHES,PINTADE,,
AIGUILLETTE DE POULET,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
BLANC DE POULET STAND.S/V 120/140,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
CUISSE DE POULET NA BBC 180/200,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
DECOUPE DE COQ SS/DOS SS/AILE 200/250GR,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
EMINCE DE FILET DE POULET CUIT NA BBC,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
FILET DE POULET 120/140 GR,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
HAUT DE CUISSE DE POULET 120/160 BBC,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
MANCHON DE POULET BIO 50-80GR,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
NUGGET'S DE POULET FRAIS 20GR,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
PAUPIETTE DE POULET S/S FICELLE (130 GR),LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
SAUCISSE DE VOLAILLE NA BBC 120GR,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
SUPREME DE POULET BBC 170-200 GR,LOT 08 VOLAILLES FRAICHES,POULET/COQ/CAILLE,,
ANDOUILLE DE BRETAGNE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
BACON TRANCHE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
CERVELAS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
CHORIZO A GRILLER 50GR,LOT 09 CHARCUTERIES,CHARCUTERIE,,
CHORIZO DOUX,LOT 09 CHARCUTERIES,CHARCUTERIE,,
CHORIZO TRANCHE FRAIS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
COPPA ITALIENNE TRANCHEE (10GR),LOT 09 CHARCUTERIES,CHARCUTERIE,,
DEMI JAMBON CRU DE PAYS,LOT 09 CHARCUTERIES,CHARCUTERIE,,
DIOTS DE SAVOIE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
EPAULE EN DE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
GODIVEAUX/CHIPOLATAS 60 GR FRAIS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
JAMBON A GRILLER TRANCHE 120 GR FRAIS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
JAMBON DD TRANCHE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
JAMBON DE DINDE EN DES,LOT 09 CHARCUTERIES,CHARCUTERIE,,
JAMBON DE DINDE TRANCHE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
JAMBON SEC TRANCHE 20 G  ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
JAMBON SERRANO  (09 MOIS) TRANCHES,LOT 09 CHARCUTERIES,CHARCUTERIE,,
MERGUEZ 60 GR FRAIS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
MINI JAMBONNEAU CUIT DORE 150 GR LA PCE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
MINI QUENELLES NATURE 4 G  FRAIS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
MORTADELLE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
MOUSSE DE CANARD SUPERIEURE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
MOUSSE DE FOIE FORESTIERE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
NOUVELLE MARCHANDISE 6573,LOT 09 CHARCUTERIES,CHARCUTERIE,,
PANCETTA TRANCHEE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
PATE CROUTE RICHELIEU (20X100G),LOT 09 CHARCUTERIES,CHARCUTERIE,,
PATE CROUTE TRANCHE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
PATE DE CAMPAGNE BRETON ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
PATE DE LAPIN SUP. AUX  NOISETTES ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
PAVE AU POIVRE PP TRANCHE 20 G 25 T ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
POITRINE FUMEE EN DE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
POITRINE FUMEE TRANCHEE 500 G ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
POITRINE SALEE EN DE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
ROSETTE TRANCHEE,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SALAMI DANOIS ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SALAMI FRAIS TRANCHE ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSE DE FRANCFORT ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSE DE MONTBELLIARD 100/125 GR  ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSE DE MORTEAU IGP,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSE DE STRASBOURG 50 GR ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSE DE TOULOUSE 130 GR ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSE FUMEE(TYPE MONTBEL) 60 GR,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSON A CUIRE 500 GR ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSON A L'AIL FUME ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
SAUCISSON SEC PP ,LOT 09 CHARCUTERIES,CHARCUTERIE,,
ANDOUILLETTE PUR PORC 140 GR,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
BOUDIN ANTILLAIS PORTION 60 GR,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
BOUDIN BLANC NATURE  125GR,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
BOUDIN NOIR CREME S/V  ,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
BOUDIN NOIR OIGNON,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
GRATONS LYONNAIS  ,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
SAINDOUX ,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
SALADE DE MUSEAU S/V ,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
SALADE PIED DE VEAU S/V ,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
TABLIER DE SAPEUR PANE. 150/180GR,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
TRIPES LYONNAISES TOMATE S/V ,LOT 09 CHARCUTERIES,CHARCUTERIE BASE  ABAT,,
CAPELLETTI AU BOEUF FRAIS ,LOT 10 PRODUITS TRAITEURS,PATES FRAICHES,,
TAGLIATELLE FRAIS NATURES ,LOT 10 PRODUITS TRAITEURS,PATES FRAICHES,,
TORTELLINI AU BOEUF FRAIS,LOT 10 PRODUITS TRAITEURS,PATES FRAICHES,,
ANCHOIS MARINÉ AU NATUREL,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
CHOUCROUTE CUITE  ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
CUISSE DE CANARD CONFITE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
FILET DE HARENG MARINES,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
GALETTE VEGE TOMATE BASILIC,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
GNOCCHI PARISIEN ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
HACHE VEGETAL NATURE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
MAGRET DE CANARD FUME TRANCHE ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
NEM VOLAILLE FRAIS 65 GR,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
NEM VOLAILLES 50 GR SURG,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
QUENELLES NATURE 40 GR ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
ROTI DE DINDE FILET CUIT ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
ROULEAU SURIMI LABEL MSC,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SALADE DE CEREALE ET MUESLI,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SALADE DE LÉGUMES CROQUANTS ORIENTALS,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SALADE DE MELI MELO DE CEREALE/LEGUME,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SALADE DE MINI-FARFALLES AU LEGUMES,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SALADE DE PERLES LEGUMIERES,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SALADE GRECQUE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SAMOUSSA AU BOEUF FRAIS,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SAMOUSSA AU PORC FRAIS,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SAUMON FUME  ATL,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
SAUMON FUME NORV FICELLE AVEC INTERCALAIRE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
STEAK DE SOJA TOMATE BASILIC,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TABOULE NATURE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TABOULE ORIENTAL,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TERRINE AUX 3 LEGUMES,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TERRINE AUX ST JACQUES ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TERRINE DE POULET PRINTANIÈRE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TERRINE DE SAUMON  ,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TERRINE DE SOLE TROPICALE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TERRINE TRIO DE POISSON (THON),LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
TOFU NATURE,LOT 10 PRODUITS TRAITEURS,TRAITEUR,,
FRITES FRAICHES PRECUITES 7/7,LOT 11 FRUIT & LEGUME PAE,FRITES FRAICHE,,
FRITES STEACK HOUSE REFRIGEREE ,LOT 11 FRUIT & LEGUME PAE,FRITES FRAICHE,,
CUBE D'ANANAS (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
CUBE DE KIWI (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
CUBE DE MANGUE (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
CUBE DE MELON (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
CUBE DE PASTEQUE (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
CUBE DE POMME (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
POMMES FRUITS QUARTIERS 5 EME ,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
SALADE DE FRUIT FRAICHEUR,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
SALADE DE FRUITS EXOTIQUES 4 EME ,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
SALADE DE RAISIN (SEAU 5KG) 4G,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
SEGMENTS  D'ORANGE FRAIS ,LOT 11 FRUIT & LEGUME PAE,FRUITS 4ÈME G ET 5 ÈME G,,
CAROTTE CUITE RONDELLE 5G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CAROTTE ENTIERE CRUE 4G ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CAROTTE RAPEE 4 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CELERI RAVE EPLUCHE QUARTIERS 4G ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CELERI RAVE RAPE 4 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CHOU BLANC EMINCE- 4EME G. ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CHOU BLANC ETROGNE QUARTIERS 4G ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CHOU ROUGE EMINCE 4 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CHOU ROUGE ETROGNE QUARTIERS 4G ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CHOU VERT QUARTIER 4EME G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CONCOMBRE ENTIER EPLUCHE CRU 4G ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
CONCOMBRE RONDELLE 4 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
COURGE QUARTIER CRUE */ 4EME G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
COURGETTE BRUNOISE (4EME GAMME),LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
JEUNE POUSSE DE SALADE ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
JULIENNE DE LEGUMES DE SAISON NBR,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
OIGNON EMINCE FRAIS,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
PANAIS CUBE 4EME GAMME,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
PDT QUARTIER LUNE  BLANCHI,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
PETITE POMME DE TERRE RONDE 4 G -,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
POIREAU BLANC 9CM CRU 4 G ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
POMME DE TERRE  VAPEUR CRUE 4G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
POMME DE TERRE EN CUBE CRU 4G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
POMME DE TERRE LAMELLE CRUE 4  EME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
POTIRON  QUARTIER 4EME G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
RADIS EQUEUTES  1 KG - 4EME G. ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE BATAVIA 4EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE DE MACHE 4 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE DECO LAITUE/ BATAVIA - 4EME G.,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE FRISEE 4 G -,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE ICEBERG 4G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE LAITUE FEUILLE- 4EME G. ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE MELEE- 4EME G.,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
SALADE RESTAURATION 4 EME GAMME,LOT 11 FRUIT & LEGUME PAE,LEGUMES 4E GAMME,,
AUBERGINES CUBES 5 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
AUBERGINES LAMELLE 5 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
BETTERAVE CUITE S/V ENTIERE,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
CARDONS 5 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
NAVETS CUBES 5 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
NAVETS TRONCON 5 EME GAMME ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
PDT CUBE 5 EME G.  ,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
PDT LAMELLE 5 EME GAMME,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
POIREAU TRONCON 5 EME G,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
POMME DE TERRE CUITE RONDE 30/40,LOT 11 FRUIT & LEGUME PAE,LEGUMES 5 E GAMMES,,
MINI ROULE FROMAGE,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA AU THON 130GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA AU THON 80 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA COMTE/BEAUFORT EN PLAQUE,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA COURGETTE BASILIC EN PLAQUE,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA COURGETTES BASILIC 85 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA DE SAISON PLAQUE ,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA FROMAGE 80 G,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
PIZZA MOZZARELLE EN PLAQUE ,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
QUICHE LORRAINE 93 G,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
QUICHE LORRAINE DINDE PUR BEURRE EN PLAQUE,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
QUICHE LORRAINE EN PLAQUE ,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE AU SAUMON EPINARDS 93 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE AU SAUMON/EPINARD EN PLAQUE ,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE AU THON 93 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE AUX 3 FROMAGE 93 G,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE AUX LEGUMES GRILLES 93 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE DE SAISON PLAQUE ,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE POIREAUX  93 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
TARTE SAISON (COMTE-BEAUFORT) 93 GR,LOT 12 CHARCUT PATISSIERE,PIZZA/QUICHE/TARTE,,
CLAFOUTIS A LA CERISES,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
CREME BRULEE 100G ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
CREME CARAMEL INDIV,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
CREME DESS BIO CHOCOLAT 100GR,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
CREME DESS BIO VANILLE 100GR,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
CREME RENVERSEE NAPPEE CARAMEL,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
DANY CARAMEL ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
FLAN AU CARAMEL ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
GATEAU DE RIZ INDIV.,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
GATEAU DE SEMOULE INDIV. ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
GELIFIE 90GR CHOCOLAT ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
GELIFIE 90GR VANILLE  ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
GERVAIS A BOIRE ABRICOT 100 GR,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
GERVAIS A BOIRE FRAISE 100 GR  ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
ILE FLOTTANTE + CARAMEL 100 GRS,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
LIEGEOIS BIO CAFE 100GR,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
LIEGEOIS BIO CHOCOLAT 100GR,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
LIEGEOIS DE FRUIT POMME MANGUE,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
LIEGEOIS DE FRUITS POMME  ABRICOT FRAMBOISE,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
LIEGEOIS VANILLE ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE AU CAFE BIO,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE AU CHOCOLAT BIO,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE AUX MARRONS ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE CAFE ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE CHOCOLAT LAIT ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE CHOCOLAT NOIR ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
MOUSSE CITRON ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
OEUF AU LAIT 100 GRS ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
ONCTUEUX CHOCOLAT 125 GR ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
ONCTUEUX VANILLE 125 GR ,LOT 13 YAOURT &  DESSERT ,DESSERTS LACTÉS/FÉCULENT,,
F.FRAIS BIO AUX FRUITS 50GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
F.FRAIS BIO NATURE 3.1% 100GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
F.FRAIS BIO NATURE 60GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
FROMAGE BLANC 40% MG SEAU ,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
FROMAGE BLANC BATTU 100GR  ,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
FROMAGE BLANC BIO 5KG,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
PETIT SUISSE SUCRE 60 GR ,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
SOJASUN FRUIT MIXE,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
SOJASUN NAT BIFIDUS,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
SOJASUN PLAISIR CHOCOLAT - ARRET FRS,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
SOJASUN PLAISIR VANILLE,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT 140 GR SUR LIT FRAISE/FRAMBOISE,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT 140GR SUR LIT D'ABRICOT/PECHE,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT BIO CITRON 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT BIO FRAISE 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT BIO NATURE 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
YAOURT BIO VANILLE 125GR,LOT 13 YAOURT &  DESSERT ,YAOURT/FROMAGE BLANC,,
